Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,Revenue of 2024,Price Category,Battery Effeciency (km/ kWh),Range Category,Autonous Level Coulumn,Unit Selling Category
56,Jaguar,I-PACE,2022,Aluminum-ion,113.2,360,Battery Swapping,5.3,87899.95,Aurora Blue,Belgium,1,0,5,4473,3,393176476.4,Premium,3,Mid-Range,Basic,Medium
57,Toyota,Lexus RZ,2020,Aluminum-ion,122.4,236,Level 1 Charging,3.8,65826.7,Matte Blue,Israel,3,0,4,11309,4,744434150.3,Mid-Range,2,Mid-Range,Advanced,Very High
58,Lamborghini,Lanzador (upcoming EV),2022,Aluminum-ion,61.8,196,Ultra-Fast Charging (350 kW+),7.1,58027.49,Navy Blue,Indonesia,3,0,4,12651,5,734105776,Mid-Range,3,Low Range,Advanced,Very High
59,Vinfast,VF 7,2022,Lithium-ion,36.4,594,Mobile Charging,10.5,134902.84,Candy Apple Red,France,3,0,5,5058,3,682338564.7,Luxury,16,High Range,Advanced,High
60,Great Wall Motors,ORA Lightning Cat,2020,Zinc-air,110.1,432,DC Fast Charging (DCFC),10.3,132280.96,Rose Gold,Saudi Arabia,2,0,4,17728,3,2345076859,Luxury,4,High Range,Intermediate,Very High
61,Gmc,Hummer EV Pickup,2018,Flow batteries,109,247,Ultra-Fast Charging (350 kW+),9.1,82076.58,Yellow,France,5,0,4,10629,3,872391968.8,Premium,2,Mid-Range,Full,Very High
62,Mazda,Mazda EV (upcoming models),2020,Nickel-cobalt-aluminum,38.9,371,Vehicle-to-Grid (V2G),7,125102.34,Pearl White,Norway,3,0,3,16307,5,2040043858,Luxury,10,Mid-Range,Advanced,Very High
63,Ford,F-150 Lightning,2022,Flow batteries,53,230,Level 1 Charging,10.8,85830.39,Copper,Saudi Arabia,3,0,4,13903,5,1193299912,Premium,4,Mid-Range,Advanced,Very High
64,Honda,Honda Prologue,2019,Lithium-iron phosphate,149.9,536,Vehicle-to-Load (V2L),1.7,75763.72,Teal,Singapore,5,0,5,12969,4,982579684.7,Mid-Range,4,High Range,Full,Very High
65,Tesla,Cybertruck,2025,Magnesium-ion,116.8,125,Vehicle-to-Load (V2L),10.1,138352.19,Navy Blue,Austria,2,0,4,4481,5,619956163.4,Luxury,1,Low Range,Intermediate,Medium
66,Kia,Soul EV,2019,Magnesium-ion,77.3,396,Overhead Pantograph Charging,8.9,40816.01,Copper,Hungary,1,0,4,17394,5,709953677.9,Mid-Range,5,Mid-Range,Basic,Very High
67,Toyota,bZ4X,2019,Aluminum-ion,127.2,346,Solar Charging,9.1,70645.83,Orange,Australia,1,0,5,13022,5,919949998.3,Mid-Range,3,Mid-Range,Basic,Very High
68,Byd,Han EV,2021,Lithium-ion,54.4,163,Vehicle-to-Home (V2H),4.7,119881.39,Gold,Israel,5,0,3,15449,3,1852047594,Premium,3,Low Range,Full,Very High
69,Gmc,Hummer EV SUV,2024,Lithium-iron phosphate,104.2,425,Vehicle-to-Home (V2H),11,66262.82,Tan,Canada,3,0,4,3805,3,252130030.1,Mid-Range,4,High Range,Advanced,Medium
70,Polestar,Polestar 3,2021,Nickel-manganese-cobalt,68.2,586,Vehicle-to-Grid (V2G),7.3,117191.9,Tan,France,4,0,3,12141,3,1422826858,Premium,9,High Range,Full,Very High
71,Geely,Geometry C,2018,Calcium-ion,67.1,451,Overhead Pantograph Charging,6.8,147341.1,Teal,South Korea,1,0,4,3003,5,442465323.3,Luxury,7,High Range,Basic,Medium
72,Rivian,EDV (Electric Delivery Van),2025,Zinc-air,146.2,125,Mobile Charging,3.3,45110.87,Matte Green,Switzerland,3,0,3,7634,4,344376381.6,Mid-Range,1,Low Range,Advanced,High
73,Opel,Corsa-e,2024,Lithium-ion,56,174,CHAdeMO,6.7,125821.66,Orange,Germany,3,0,5,10609,3,1334841991,Luxury,3,Low Range,Advanced,Very High
74,Porsche,Panamera EV,2015,Nickel-metal hydride,116.4,369,CCS,9.1,87149.52,Navy Blue,Argentina,0,0,5,1420,5,123752318.4,Premium,3,Mid-Range,None,Medium
75,Vinfast,VFe34 (discontinued),2019,Nickel-manganese-cobalt,103.6,115,Level 2 Charging,12,131675.83,Brown,France,3,0,4,19932,3,2624562644,Luxury,1,Low Range,Advanced,Very High
76,Audi,e-tron GT,2019,Zinc-air,102.3,380,Mobile Charging,4.9,101687.02,Copper,Australia,3,0,5,18066,5,1837077703,Premium,4,Mid-Range,Advanced,Very High
77,Rivian,R1S,2022,Aluminum-ion,49.7,273,Vehicle-to-Home (V2H),5.1,117553.5,Purple,Vietnam,2,0,4,2199,3,258500146.5,Premium,5,Mid-Range,Intermediate,Medium
78,Hyundai,Kona Electric,2021,Solid-state,116.8,290,CHAdeMO,6.9,100375.81,Matte Gray,United Arab Emirates,0,0,4,1685,4,169133239.9,Premium,2,Mid-Range,None,Medium
79,Cadillac,Celestiq,2020,Solid-state,95.1,208,CHAdeMO,8.1,56909.38,Yellow,Brazil,2,0,3,14061,5,800202792.2,Mid-Range,2,Mid-Range,Intermediate,Very High
80,Opel,Grandland Electric,2024,Flow batteries,103.6,113,Battery Swapping,0.8,62792.45,Stealth Gray,Poland,2,0,5,13132,3,824590453.4,Mid-Range,1,Low Range,Intermediate,Very High
81,Ford,Mustang Mach-E,2016,Lithium-titanate,89,292,Vehicle-to-Grid (V2G),5.7,48889.11,Magenta,Hungary,4,0,3,5158,5,252170029.4,Mid-Range,3,Mid-Range,Full,High
82,Bmw,iX3,2016,Lithium-sulfur,77.6,317,Vehicle-to-Load (V2L),7.5,79702.05,Electric Blue,Turkey,3,0,5,19435,4,1549009342,Mid-Range,4,Mid-Range,Advanced,Very High
83,Lotus,Evija,2019,Lithium-ion,48.7,406,Level 2 Charging,0.6,66170.32,Electric Blue,Italy,2,0,4,14111,3,933729385.5,Mid-Range,8,High Range,Intermediate,Very High
84,Volkswagen,ID.6,2023,Lithium-titanate,49.9,386,Overhead Pantograph Charging,1.3,133411.72,Silver,Vietnam,3,0,5,14066,5,1876569254,Luxury,8,Mid-Range,Advanced,Very High
85,Xpeng,P5,2019,Solid-state,72.7,594,Mobile Charging,2.5,143713.72,Sunset Orange,Argentina,3,0,5,13121,5,1885667720,Luxury,8,High Range,Advanced,Very High
86,Hyundai,Ioniq 7 (upcoming),2019,Lithium-titanate,64.1,270,NACS,1.4,105986.96,Matte Black,Turkey,2,0,5,4839,3,512870899.4,Premium,4,Mid-Range,Intermediate,Medium
87,Kia,Niro EV,2019,Lithium-iron phosphate,42.6,178,DC Fast Charging (DCFC),2.5,122741.77,Champagne,Australia,4,0,5,10590,5,1299835344,Luxury,4,Low Range,Full,Very High
88,Rimac,Nevera,2022,Solid-state,81,423,Solar Charging,9.7,100970.37,Teal,Turkey,3,0,4,12082,4,1219924010,Premium,5,High Range,Advanced,Very High
89,Audi,e-tron,2024,Zinc-air,85.9,336,Level 2 Charging,5.7,127177.91,Ruby Red,Denmark,3,0,4,3391,4,431260292.8,Luxury,4,Mid-Range,Advanced,Medium
90,Dacia,Jogger Hybrid,2023,Flow batteries,42.4,226,Vehicle-to-Home (V2H),11.9,92888.23,Sapphire Blue,Netherlands,2,0,5,19591,3,1819773314,Premium,5,Mid-Range,Intermediate,Very High
91,Vinfast,VF 8,2016,Sodium-ion,32.3,447,Plug-in Hydrogen Refueling,3.8,116848.04,Lime Green,Ireland,2,0,4,10165,5,1187760327,Premium,14,High Range,Intermediate,Very High
92,Seat,Avenger,2017,Zinc-air,112.1,143,Solar Charging,6.9,107219.19,Pink,Italy,5,0,3,13874,5,1487559042,Premium,1,Low Range,Full,Very High
93,Byd,Han EV,2020,Lithium-sulfur,43.4,209,Mobile Charging,11.4,88352.51,Crimson Red,Italy,2,0,5,17253,3,1524345855,Premium,5,Mid-Range,Intermediate,Very High
94,Mini,Mini Cooper SE,2024,Nickel-metal hydride,97.6,178,NACS,2.6,113141.48,Sapphire Blue,Netherlands,0,0,3,14555,5,1646774241,Premium,2,Low Range,None,Very High
95,Mazda,Mazda EV (upcoming models),2018,Lead-acid,51.1,594,Vehicle-to-Load (V2L),10.9,53281.94,Sky Blue,Singapore,3,0,5,17283,4,920871769,Mid-Range,12,High Range,Advanced,Very High
96,Mercedes-Benz,EQB,2024,Nickel-metal hydride,133.5,126,Vehicle-to-Load (V2L),10.6,96544.89,Yellow,South Africa,2,0,4,16821,3,1623981595,Premium,1,Low Range,Intermediate,Very High
97,Zeekr,Zeekr 001,2018,Calcium-ion,78.6,278,Level 1 Charging,5.3,77574.48,Turquoise,Belgium,0,0,4,3246,5,251806762.1,Mid-Range,4,Mid-Range,None,Medium
98,Genesis,GV80 Electric,2017,Nickel-metal hydride,25,569,Vehicle-to-Load (V2L),8.5,46655.12,Cosmic Purple,New Zealand,0,0,4,7066,3,329665077.9,Mid-Range,23,High Range,None,High
99,Lamborghini,Lanzador (upcoming EV),2016,Magnesium-ion,57.5,254,CCS,1,80379.07,Burgundy,Finland,0,0,5,538,5,43243939.66,Premium,4,Mid-Range,None,Low
100,Mg,MG4 Electric,2017,Lithium-sulfur,75.8,414,Overhead Pantograph Charging,3.3,79988.11,Lime Green,Uk,2,0,5,16633,5,1330442234,Mid-Range,5,High Range,Intermediate,Very High
101,Nissan,Ariya,2022,Lithium-ion,102.6,291,Battery Swapping,9.1,72851.27,Red,Brazil,5,0,5,10895,3,793714586.7,Mid-Range,3,Mid-Range,Full,Very High
102,Chevrolet,Volt (PHEV),2023,Sodium-ion,125.8,189,Vehicle-to-Home (V2H),11.8,87423.74,Midnight Black,Italy,3,0,4,6605,3,577433802.7,Premium,2,Low Range,Advanced,High
103,Vinfast,VF 7,2015,Sodium-ion,141.3,363,Plug-in Hydrogen Refueling,11.9,95163.68,Gold,Japan,1,0,3,10876,4,1035000184,Premium,3,Mid-Range,Basic,Very High
104,Jaguar,I-PACE,2021,Aluminum-ion,72,325,Plug-in Hydrogen Refueling,4.4,52418.07,Ice Silver,Russia,4,0,4,13910,3,729135353.7,Mid-Range,5,Mid-Range,Full,Very High
105,Zeekr,Zeekr X,2023,Lithium-sulfur,61.8,140,Mobile Charging,8.1,66779.5,Gun Metal,Vietnam,3,0,4,11552,5,771436784,Mid-Range,2,Low Range,Advanced,Very High
106,Zeekr,Zeekr 009,2025,Magnesium-ion,143.2,138,Plug-in Hydrogen Refueling,4.7,126131.52,Sky Blue,Netherlands,1,0,4,1140,3,143789932.8,Luxury,1,Low Range,Basic,Medium
107,Audi,e-tron GT,2025,Sodium-ion,67.1,586,Level 2 Charging,7.5,111487.45,Turquoise,Argentina,0,0,4,10301,5,1148432222,Premium,9,High Range,None,Very High
108,Toyota,bZ4X,2016,Lithium-ion,115.6,355,Plug-in Hydrogen Refueling,11,44131.32,Navy Blue,Spain,1,0,4,6559,3,289457327.9,Mid-Range,3,Mid-Range,Basic,High
109,Volkswagen,ID.2all,2016,Nickel-manganese-cobalt,42.4,465,Vehicle-to-Home (V2H),12,127261.59,Rose Gold,Hungary,5,0,4,5161,5,656797066,Luxury,11,High Range,Full,High
110,Dacia,Jogger Hybrid,2020,Lead-acid,49.2,202,CHAdeMO,3.2,89282.63,Turquoise,United Arab Emirates,3,0,5,2825,3,252223429.8,Premium,4,Mid-Range,Advanced,Medium
111,Subaru,Solterra,2022,Lead-acid,73.4,309,DC Fast Charging (DCFC),1.9,68043.32,Red,Malaysia,4,0,5,19260,3,1310514343,Mid-Range,4,Mid-Range,Full,Very High
112,Opel,Corsa-e,2021,Lead-acid,138.4,128,CCS,6.5,66494.95,Pearl White,Hungary,1,0,4,2584,4,171822950.8,Mid-Range,1,Low Range,Basic,Medium
113,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,36.3,255,DC Fast Charging (DCFC),6.3,50236.31,Matte Blue,Sweden,4,0,5,1349,3,67768782.19,Mid-Range,7,Mid-Range,Full,Medium
114,Hyundai,Kona Electric,2025,Magnesium-ion,95,433,Inductive (Wireless) Charging,9.3,79990.41,Emerald Green,Germany,5,0,4,15825,3,1265848238,Mid-Range,5,High Range,Full,Very High
115,Faraday Future,FF 91,2019,Nickel-manganese-cobalt,29.5,130,NACS,5.6,88110.14,Electric Blue,Mexico,2,0,4,13065,3,1151158979,Premium,4,Low Range,Intermediate,Very High
116,Citroen,ë-Spacetourer,2023,Lead-acid,33.8,223,Vehicle-to-Home (V2H),1.9,83951.52,Charcoal,France,3,0,4,8135,3,682945615.2,Premium,7,Mid-Range,Advanced,High
117,Canoo,Pickup,2024,Lithium-titanate,60.7,490,NACS,6.2,91766.98,Champagne,Poland,0,0,3,7049,5,646865442,Premium,8,High Range,None,High
118,Fisker,Ocean,2015,Lithium-sulfur,84.3,551,Vehicle-to-Load (V2L),3.8,30981.29,Yellow,Vietnam,3,0,4,11991,3,371496648.4,Budget,7,High Range,Advanced,Very High
119,Xpeng,P7,2024,Lead-acid,45.3,383,Solar Charging,1.3,90510.66,Stealth Gray,United Arab Emirates,4,0,3,12907,4,1168221089,Premium,8,Mid-Range,Full,Very High
120,Vinfast,VF 8,2023,Sodium-ion,118.1,201,Plug-in Hydrogen Refueling,6.3,35436.4,Gray,Mexico,4,0,5,4580,4,162298712,Budget,2,Mid-Range,Full,Medium
121,Gmc,Hummer EV SUV,2017,Nickel-cobalt-aluminum,148.8,478,Solar Charging,7.3,90877.8,Graphite Gray,Saudi Arabia,4,0,4,10854,5,986387641.2,Premium,3,High Range,Full,Very High
122,Jaguar,I-PACE,2024,Lithium-sulfur,123.6,471,Level 1 Charging,7.4,61863.65,Ruby Red,Israel,5,0,5,12458,3,770697351.7,Mid-Range,4,High Range,Full,Very High
123,Canoo,MPDV,2018,Lithium-ion,94.4,458,CCS,2.7,82924.63,Tan,Sweden,1,0,4,2040,5,169166245.2,Premium,5,High Range,Basic,Medium
124,Volkswagen,ID.7,2018,Lead-acid,62.3,439,Vehicle-to-Load (V2L),6.5,67650.31,Midnight Black,Australia,2,0,5,8662,5,585986985.2,Mid-Range,7,High Range,Intermediate,High
125,Great Wall Motors,ORA Good Cat,2018,Lithium-sulfur,92.6,215,Solar Charging,9.4,114588.11,Ice Silver,Russia,2,0,5,8960,4,1026709466,Premium,2,Mid-Range,Intermediate,High
126,Jaguar,I-PACE,2021,Calcium-ion,64.9,495,CHAdeMO,3.8,64515.64,Cosmic Purple,Uk,3,0,3,6621,5,427158052.4,Mid-Range,8,High Range,Advanced,High
127,Toyota,Lexus UX 300e,2019,Nickel-metal hydride,34.2,479,Ultra-Fast Charging (350 kW+),3.3,110380.08,Matte Black,Austria,0,0,4,3294,5,363591983.5,Premium,14,High Range,None,Medium
128,Opel,Corsa-e,2015,Lead-acid,147.1,180,Vehicle-to-Grid (V2G),8,135677.69,Aurora Blue,New Zealand,2,0,3,18813,3,2552504382,Luxury,1,Low Range,Intermediate,Very High
129,Maserati,Grecale Folgore,2017,Nickel-cobalt-aluminum,134.7,190,Level 2 Charging,12,77639.35,Champagne,Norway,2,0,4,18610,5,1444868304,Mid-Range,1,Low Range,Intermediate,Very High
130,Kia,EV6,2019,Nickel-manganese-cobalt,148.6,378,Vehicle-to-Load (V2L),10.7,46103.99,Graphite Gray,Australia,0,0,5,8430,5,388656635.7,Mid-Range,3,Mid-Range,None,High
131,Porsche,Taycan,2020,Magnesium-ion,58.4,445,Inductive (Wireless) Charging,2.5,132737.58,Cream,Vietnam,0,0,4,4607,4,611522031.1,Luxury,8,High Range,None,Medium
132,Rimac,Nevera,2015,Lithium-sulfur,69.9,328,Battery Swapping,11.5,66233.5,Volcanic Yellow,Singapore,3,0,3,3873,4,256522345.5,Mid-Range,5,Mid-Range,Advanced,Medium
133,Subaru,Solterra,2021,Flow batteries,85.3,558,Solar Charging,8.4,106645.36,Copper,Argentina,1,0,4,19848,4,2116697105,Premium,7,High Range,Basic,Very High
134,Li Auto,MEGA,2023,Magnesium-ion,106.3,211,Ultra-Fast Charging (350 kW+),8.3,101497.74,Burgundy,Uk,4,0,4,18486,3,1876287222,Premium,2,Mid-Range,Full,Very High
135,Bmw,iX1,2023,Lithium-iron phosphate,94.5,176,NACS,4.3,92440.98,Orange,Switzerland,3,0,3,14858,3,1373488081,Premium,2,Low Range,Advanced,Very High
136,Mg,MG ES5,2022,Zinc-air,27.5,336,Solar Charging,8.8,77513.85,Platinum,Usa,4,0,5,2089,5,161926432.7,Mid-Range,12,Mid-Range,Full,Medium
